"age","yearsmarried","religiousness","rating","if_affair"
27,4,3,3,"no"
37,4,1,4,"no"
27,4,4,4,"no"
52,15,5,3,"no"
57,15,4,4,"no"
27,7,1,4,"no"
37,7,4,3,"no"
22,0.75,2,3,"no"
32,4,2,3,"no"
37,15,4,3,"no"
22,0.75,2,3,"no"
42,15,4,3,"no"
52,15,5,1,"no"
37,15,4,2,"no"
27,7,4,3,"no"
32,4,2,5,"no"
27,4,2,5,"no"
27,4,2,5,"no"
37,15,5,5,"no"
47,15,5,4,"no"
32,10,3,4,"no"
27,1.5,4,2,"no"
57,15,2,2,"no"
22,1.5,4,4,"no"
42,15,3,4,"no"
57,15,4,2,"no"
57,15,4,5,"no"
22,0.125,4,5,"no"
32,10,4,5,"no"
42,15,3,4,"no"
27,1.5,2,5,"no"
32,0.125,2,2,"no"
27,4,3,4,"no"
27,10,2,4,"no"
32,7,4,3,"no"
37,15,4,4,"no"
42,15,5,2,"no"
32,1.5,4,5,"no"
32,4,3,3,"no"
37,7,4,5,"no"
22,0.417,3,5,"no"
27,7,4,5,"no"
27,0.75,3,5,"no"
27,4,2,5,"no"
32,10,4,5,"no"
32,15,1,5,"no"
22,0.75,3,5,"no"
27,7,4,4,"no"
27,0.417,4,4,"no"
37,15,4,4,"no"
37,15,2,3,"no"
22,4,1,4,"no"
37,15,4,3,"no"
22,1.5,2,5,"no"
52,15,4,2,"no"
22,1.5,4,5,"no"
32,4,5,5,"no"
32,4,2,5,"no"
22,1.5,3,5,"no"
27,0.75,2,3,"no"
22,7,2,2,"no"
27,0.75,2,3,"no"
37,15,4,2,"no"
22,1.5,1,5,"no"
37,10,2,4,"no"
37,15,4,3,"no"
42,15,3,3,"no"
22,4,2,5,"no"
52,7,2,2,"no"
27,0.75,2,5,"no"
27,4,2,5,"no"
42,1.5,5,5,"no"
22,1.5,4,5,"no"
22,4,4,3,"no"
22,4,1,4,"no"
37,15,5,5,"no"
37,10,3,3,"no"
42,15,4,5,"no"
47,15,4,5,"no"
22,1.5,4,4,"no"
32,10,3,4,"no"
22,7,1,5,"no"
32,10,4,4,"no"
27,1.5,2,4,"no"
37,15,4,5,"no"
42,4,3,5,"no"
37,15,5,4,"no"
32,7,4,5,"no"
42,15,4,5,"no"
27,4,4,4,"no"
22,0.75,4,5,"no"
27,4,4,3,"no"
22,0.75,5,5,"no"
52,15,5,5,"no"
32,10,3,5,"no"
37,15,4,4,"no"
32,7,2,4,"no"
42,15,3,4,"no"
32,15,1,5,"no"
27,4,3,5,"no"
32,15,4,4,"no"
22,0.75,3,4,"no"
22,1.5,3,3,"no"
42,15,4,5,"no"
52,15,3,4,"no"
37,15,5,4,"no"
47,15,4,3,"no"
57,15,2,4,"no"
32,7,4,5,"no"
27,7,4,4,"no"
22,1.5,1,5,"no"
22,4,3,4,"no"
22,1.5,2,5,"no"
42,15,2,4,"no"
57,15,4,4,"no"
27,7,2,5,"no"
22,4,3,5,"no"
37,15,4,3,"no"
32,7,1,4,"no"
22,1.5,2,5,"no"
22,1.5,3,3,"no"
52,15,2,5,"no"
37,15,2,1,"no"
32,10,2,5,"no"
42,15,4,5,"no"
27,4,3,5,"no"
37,15,4,5,"no"
27,1.5,3,5,"no"
22,0.125,2,3,"no"
32,10,2,3,"no"
27,4,4,4,"no"
27,7,2,1,"no"
32,4,5,3,"no"
37,15,2,5,"no"
47,15,4,4,"no"
27,1.5,1,5,"no"
37,15,4,4,"no"
32,15,4,4,"no"
32,7,4,4,"no"
42,15,3,3,"no"
27,7,3,4,"no"
27,1.5,3,2,"no"
22,1.5,3,5,"no"
27,4,3,2,"no"
27,7,3,2,"no"
37,15,2,4,"no"
37,7,3,4,"no"
22,1.5,2,5,"no"
37,15,5,4,"no"
22,1.5,4,3,"no"
32,10,4,5,"no"
27,4,2,3,"no"
22,0.417,4,5,"no"
27,4,2,5,"no"
37,15,4,3,"no"
37,10,5,4,"no"
27,7,2,2,"no"
32,4,2,5,"no"
32,4,2,4,"no"
22,1.5,3,5,"no"
22,4,4,4,"no"
17.5,0.75,2,4,"no"
32,10,4,5,"no"
32,0.75,5,3,"no"
37,15,4,3,"no"
32,4,3,5,"no"
27,1.5,2,2,"no"
22,7,4,5,"no"
47,15,5,5,"no"
27,4,1,4,"no"
37,15,5,3,"no"
42,4,4,5,"no"
32,4,2,5,"no"
52,15,2,4,"no"
22,1.5,2,4,"no"
52,15,4,4,"no"
22,0.417,3,5,"no"
22,1.5,2,5,"no"
27,4,4,4,"no"
32,15,4,5,"no"
27,1.5,2,5,"no"
32,4,1,5,"no"
37,15,3,4,"no"
32,10,2,5,"no"
32,10,5,5,"no"
37,1.5,4,3,"no"
32,1.5,2,4,"no"
32,10,4,4,"no"
47,15,4,4,"no"
27,10,5,5,"no"
27,4,3,5,"no"
37,15,4,2,"no"
27,0.75,4,5,"no"
37,15,4,5,"no"
32,15,3,5,"no"
27,10,2,5,"no"
27,7,2,5,"no"
37,15,2,3,"no"
27,1.5,2,4,"no"
22,0.75,2,5,"no"
22,4,4,4,"no"
42,0.125,4,4,"no"
27,1.5,4,5,"no"
27,7,3,3,"no"
52,15,4,3,"no"
27,1.5,5,2,"no"
27,1.5,2,5,"no"
27,1.5,3,5,"no"
22,0.125,5,4,"no"
27,4,4,5,"no"
27,4,4,5,"no"
47,15,2,5,"no"
32,15,3,3,"no"
42,7,2,5,"no"
22,0.75,4,4,"no"
27,0.125,3,5,"no"
32,10,3,5,"no"
22,0.417,5,5,"no"
47,15,5,4,"no"
32,10,3,5,"no"
57,15,4,5,"no"
27,4,3,5,"no"
32,7,4,5,"no"
37,10,4,5,"no"
32,10,1,4,"no"
22,4,3,4,"no"
27,7,4,2,"no"
57,15,5,2,"no"
32,7,2,5,"no"
27,1.5,4,3,"no"
22,1.5,4,5,"no"
22,1.5,4,4,"no"
32,7,3,5,"no"
47,15,3,4,"no"
22,0.75,3,5,"no"
22,1.5,2,5,"no"
27,4,1,5,"no"
52,15,4,5,"no"
32,10,4,5,"no"
47,15,4,4,"no"
27,7,2,2,"no"
22,1.5,4,5,"no"
32,10,2,4,"no"
22,0.75,2,4,"no"
22,1.5,2,5,"no"
42,15,3,4,"no"
27,7,5,5,"no"
42,15,4,4,"no"
57,15,3,2,"no"
42,15,3,2,"no"
32,7,2,2,"no"
22,4,5,5,"no"
22,1.5,1,5,"no"
22,0.75,1,5,"no"
32,15,4,5,"no"
22,1.5,2,3,"no"
27,4,5,5,"no"
27,4,4,5,"no"
42,15,5,4,"no"
32,1.5,2,3,"no"
57,15,4,1,"no"
37,7,4,5,"no"
52,15,2,4,"no"
47,15,4,5,"no"
27,7,2,4,"no"
27,7,4,5,"no"
22,4,2,3,"no"
37,7,2,5,"no"
27,7,4,3,"no"
42,10,4,4,"no"
22,1.5,3,5,"no"
22,4,2,3,"no"
57,15,4,5,"no"
37,15,4,3,"no"
27,7,3,5,"no"
17.5,10,4,5,"no"
22,4,4,5,"no"
27,4,2,4,"no"
37,15,2,1,"no"
22,1.5,5,4,"no"
27,7,2,4,"no"
27,4,4,5,"no"
22,0.125,1,5,"no"
27,7,4,4,"no"
32,15,5,3,"no"
32,10,4,4,"no"
32,15,2,4,"no"
22,1.5,3,5,"no"
27,4,4,4,"no"
52,15,5,5,"no"
27,7,2,2,"no"
27,7,3,4,"no"
42,15,2,4,"no"
42,15,4,4,"no"
27,7,4,3,"no"
27,7,2,2,"no"
42,15,3,3,"no"
27,4,3,5,"no"
27,7,3,4,"no"
22,1.5,2,5,"no"
27,4,4,4,"no"
22,4,4,5,"no"
22,1.5,2,5,"no"
47,15,4,4,"no"
37,10,2,2,"no"
37,15,3,4,"no"
27,4,2,4,"no"
27,1.5,3,4,"yes"
27,4,3,5,"yes"
37,15,5,2,"yes"
32,10,3,2,"yes"
22,0.125,4,5,"yes"
22,1.5,2,5,"yes"
37,15,4,2,"yes"
22,1.5,2,4,"yes"
37,15,2,4,"yes"
32,15,4,2,"yes"
37,15,4,2,"yes"
42,15,3,4,"yes"
42,15,5,1,"yes"
37,10,2,2,"yes"
32,15,3,2,"yes"
27,4,1,5,"yes"
37,10,2,3,"yes"
27,4,3,5,"yes"
42,15,4,5,"yes"
47,15,5,5,"yes"
27,4,3,4,"yes"
27,7,5,4,"yes"
27,1.5,3,4,"yes"
27,7,4,2,"yes"
42,15,4,4,"yes"
27,10,4,3,"yes"
27,1.5,2,2,"yes"
32,4,4,4,"yes"
27,7,3,3,"yes"
32,10,4,4,"yes"
27,4,2,2,"yes"
17.5,0.75,5,5,"yes"
32,10,4,5,"yes"
32,7,2,4,"yes"
37,15,2,4,"yes"
37,10,1,3,"yes"
32,10,2,5,"yes"
52,15,2,4,"yes"
42,15,1,3,"yes"
52,15,2,3,"yes"
37,15,3,5,"yes"
22,4,3,4,"yes"
27,7,1,2,"yes"
27,4,3,5,"yes"
47,15,4,5,"yes"
42,15,4,1,"yes"
27,4,3,4,"yes"
32,7,4,5,"yes"
32,0.417,3,4,"yes"
47,15,5,4,"yes"
37,15,2,4,"yes"
22,4,2,4,"yes"
27,4,2,5,"yes"
52,15,5,3,"yes"
27,4,3,3,"yes"
27,10,4,4,"yes"
32,7,3,4,"yes"
32,7,2,1,"yes"
22,1.5,1,2,"yes"
22,4,3,4,"yes"
42,15,4,4,"yes"
57,15,1,4,"yes"
32,4,3,2,"yes"
27,4,1,4,"yes"
32,7,4,4,"yes"
57,15,1,4,"yes"
42,15,4,2,"yes"
37,10,1,3,"yes"
42,15,3,1,"yes"
52,15,3,4,"yes"
27,7,3,3,"yes"
32,7,2,2,"yes"
22,4,4,5,"yes"
27,7,3,4,"yes"
37,15,1,5,"yes"
32,15,3,3,"yes"
27,7,2,5,"yes"
32,7,3,3,"yes"
32,1.5,2,4,"yes"
42,15,4,2,"yes"
32,10,3,4,"yes"
37,4,1,3,"yes"
27,4,2,3,"yes"
42,15,3,3,"yes"
27,10,5,5,"yes"
37,10,2,2,"yes"
27,7,1,3,"yes"
27,7,4,2,"yes"
32,10,2,4,"yes"
17.5,0.75,2,3,"yes"
32,15,3,4,"yes"
22,7,4,3,"yes"
32,7,4,5,"yes"
27,4,2,2,"yes"
22,1.5,5,3,"yes"
32,15,3,1,"yes"
42,15,2,2,"yes"
42,15,3,4,"yes"
32,10,2,2,"yes"
32,15,3,1,"yes"
57,15,5,5,"yes"
47,15,4,4,"yes"
42,15,2,3,"yes"
37,15,3,3,"yes"
37,15,5,2,"yes"
27,10,2,4,"yes"
37,15,2,4,"yes"
32,15,1,2,"yes"
32,10,3,3,"yes"
37,15,4,1,"yes"
27,1.5,2,5,"yes"
47,15,2,2,"yes"
37,15,2,4,"yes"
27,4,2,5,"yes"
27,10,4,5,"yes"
22,4,3,3,"yes"
52,7,4,5,"yes"
27,4,1,5,"yes"
37,15,2,4,"yes"
27,4,1,1,"yes"
17.5,0.75,2,5,"yes"
32,15,5,4,"yes"
22,4,1,5,"yes"
32,4,4,4,"yes"
22,1.5,3,2,"yes"
42,15,2,4,"yes"
32,7,4,4,"yes"
37,15,3,2,"yes"
42,15,3,3,"yes"
27,4,1,4,"yes"
37,15,4,3,"yes"
37,15,3,4,"yes"
22,1.5,2,3,"yes"
32,4,3,2,"yes"
32,15,5,5,"yes"
52,15,1,5,"yes"
47,15,1,5,"yes"
32,15,4,4,"yes"
32,15,3,2,"yes"
27,7,4,2,"yes"
42,15,3,2,"yes"
42,15,2,2,"yes"
27,7,2,4,"yes"
32,10,4,3,"yes"
47,15,3,2,"yes"
22,1.5,1,5,"yes"
32,10,2,4,"yes"
32,10,2,5,"yes"
22,7,3,2,"yes"
32,15,3,5,"yes"
